OX243811.1_t_gene2_mRNA2	OX243811.1_129639-139352
OX243811.1_t_gene5_mRNA16	OX243811.1_365226-379409
OX243811.1_t_gene6_mRNA17	OX243811.1_407206-411823
OX243811.1_t_gene11_mRNA22	OX243811.1_644048-649819
OX243811.1_t_gene12_mRNA23	OX243811.1_653036-660560
OX243811.1_t_gene18_mRNA29	OX243811.1_852192-856870
OX243811.1_t_gene21_mRNA36	OX243811.1_875116-880335
OX243811.1_t_gene24_mRNA39	OX243811.1_1040071-1043925
OX243811.1_t_gene26_mRNA41	OX243811.1_1050688-1055884
OX243811.1_t_gene28_mRNA43	OX243811.1_1060408-1065135
OX243811.1_t_gene30_mRNA45	OX243811.1_1084221-1089611
OX243811.1_t_gene34_mRNA49	OX243811.1_1108669-1112792
OX243811.1_t_gene37_mRNA52	OX243811.1_1122572-1127980
OX243811.1_t_gene41_mRNA56	OX243811.1_1161258-1166329
OX243811.1_t_gene42_mRNA57	OX243811.1_1176525-1182638
OX243811.1_t_gene43_mRNA58	OX243811.1_1428529-1433256
OX243811.1_t_gene44_mRNA59	OX243811.1_1535177-1543183
OX243811.1_t_gene45_mRNA60	OX243811.1_1612543-1617702
OX243811.1_t_gene49_mRNA67	OX243811.1_2110991-2127651
OX243811.1_t_gene51_mRNA69	OX243811.1_2564806-2569699
OX243811.1_t_gene57_mRNA87	OX243811.1_2759706-2766075
OX243811.1_t_gene58_mRNA88	OX243811.1_2767609-2773503
OX243811.1_t_gene59_mRNA89	OX243811.1_2791645-2802377
OX243811.1_t_gene61_mRNA91	OX243811.1_2908337-2914613
OX243811.1_t_gene62_mRNA92	OX243811.1_2952100-2974494
OX243811.1_t_gene64_mRNA94	OX243811.1_3016188-3025115
OX243811.1_t_gene67_mRNA97	OX243811.1_3055351-3060469
OX243811.1_t_gene70_mRNA100	OX243811.1_3150482-3157924
OX243811.1_t_gene72_mRNA103	OX243811.1_3228181-3233094
OX243811.1_t_gene73_mRNA104	OX243811.1_3273053-3278593
OX243811.1_t_gene76_mRNA111	OX243811.1_3341629-3346455
OX243811.1_t_gene79_mRNA115	OX243811.1_3391794-3408731
OX243811.1_t_gene80_mRNA116	OX243811.1_3474616-3491490
OX243811.1_t_gene84_mRNA120	OX243811.1_3600912-3607612
OX243811.1_t_gene88_mRNA125	OX243811.1_3756039-3765321
OX243811.1_t_gene91_mRNA131	OX243811.1_3962990-3970248
OX243811.1_t_gene92_mRNA132	OX243811.1_3975815-3984288
OX243811.1_t_gene96_mRNA136	OX243811.1_4168556-4177390
OX243811.1_t_gene97_mRNA137	OX243811.1_4177391-4180254
OX243811.1_t_gene98_mRNA138	OX243811.1_4180255-4184323
OX243811.1_t_gene99_mRNA139	OX243811.1_4289830-4300487
OX243811.1_t_gene100_mRNA140	OX243811.1_4312354-4317870
OX243811.1_t_gene105_mRNA153	OX243811.1_4524983-4532838
OX243811.1_t_gene111_mRNA159	OX243811.1_4713623-4718702
OX243811.1_t_gene112_mRNA161	OX243811.1_4720491-4725545
OX243811.1_t_gene114_mRNA163	OX243811.1_4776757-4785010
OX243811.1_t_gene117_mRNA168	OX243811.1_4957859-4967650
OX243811.1_t_gene118_mRNA170	OX243811.1_4977725-4982749
OX243811.1_t_gene120_mRNA176	OX243811.1_5069990-5085318
OX243811.1_t_gene121_mRNA177	OX243811.1_5137366-5149368
OX243811.1_t_gene122_mRNA178	OX243811.1_5164730-5173853
OX243811.1_t_gene125_mRNA181	OX243811.1_5315891-5321862
OX243811.1_t_gene126_mRNA184	OX243811.1_5326154-5337232
OX243811.1_t_gene128_mRNA186	OX243811.1_5343820-5349681
OX243811.1_t_gene137_mRNA195	OX243811.1_5938962-5948136
OX243811.1_t_gene141_mRNA199	OX243811.1_6231771-6239270
OX243811.1_t_gene142_mRNA200	OX243811.1_6289863-6297479
OX243811.1_t_gene143_mRNA201	OX243811.1_6325952-6334151
OX243811.1_t_gene144_mRNA202	OX243811.1_6387714-6393516
OX243811.1_t_gene145_mRNA203	OX243811.1_6455235-6480313
OX243811.1_t_gene146_mRNA204	OX243811.1_6524065-6532320
OX243811.1_t_gene149_mRNA207	OX243811.1_6629189-6637529
OX243811.1_t_gene151_mRNA209	OX243811.1_6655063-6664446
OX243811.1_t_gene153_mRNA213	OX243811.1_6874792-6909271
OX243811.1_t_gene157_mRNA217	OX243811.1_7370598-7381507
OX243811.1_t_gene160_mRNA221	OX243811.1_7430266-7435028
OX243811.1_t_gene163_mRNA224	OX243811.1_7481139-7484761
OX243811.1_t_gene164_mRNA225	OX243811.1_7537862-7542918
OX243811.1_t_gene165_mRNA226	OX243811.1_7767288-7773086
OX243811.1_t_gene169_mRNA230	OX243811.1_8240526-8245083
OX243811.1_t_gene170_mRNA231	OX243811.1_8245084-8250660
OX243811.1_t_gene172_mRNA233	OX243811.1_8430532-8436090
OX243811.1_t_gene174_mRNA235	OX243811.1_8559668-8569750
OX243811.1_t_gene176_mRNA238	OX243811.1_8619131-8624314
OX243811.1_t_gene177_mRNA239	OX243811.1_8740161-8746648
OX243811.1_t_gene178_mRNA242	OX243811.1_8746649-8754280
OX243811.1_t_gene179_mRNA243	OX243811.1_8758949-8762958
OX243811.1_t_gene186_mRNA251	OX243811.1_9168807-9178407
OX243811.1_t_gene188_mRNA253	OX243811.1_9322007-9325505
OX243811.1_t_gene189_mRNA254	OX243811.1_9325506-9329351
OX243811.1_t_gene190_mRNA255	OX243811.1_9329352-9332986
OX243811.1_t_gene191_mRNA256	OX243811.1_9482168-9490901
OX243811.1_t_gene193_mRNA258	OX243811.1_9546662-9551891
OX243811.1_t_gene197_mRNA262	OX243811.1_9648670-9655308
OX243811.1_t_gene201_mRNA274	OX243811.1_9955275-9961682
OX243811.1_t_gene202_mRNA275	OX243811.1_9985886-9992284
OX243811.1_t_gene205_mRNA278	OX243811.1_10086844-10101979
OX243811.1_t_gene210_mRNA289	OX243811.1_10311718-10320153
OX243811.1_t_gene211_mRNA295	OX243811.1_10331054-10343208
